Evolution,Iteration,Chromosome,Fitness
0,0,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",23255
0,0,"[-85.28, 69.22, -83.39, -67.84, -84.6, 81.88, 9.17, 64.5, 94.49]",13581
0,0,"[-11.61, -20.86, -89.28, -22.05, 4.45, 23.75, 7.95, -66.06, 21.12]",5266
0,0,"[85.84, -45.18, -26.68, 43.47, 17.06, 50.07, -27.14, 91.05, -97.74]",2679
0,0,"[-42.0, 80.01, -80.37, 55.32, -82.92, 12.62, -29.76, -8.06, 37.46]",429
0,0,"[44.34, -25.09, -94.96, 35.02, -89.68, -53.07, -35.0, -68.59, -67.17]",299
0,0,"[-85.28, 69.22, -83.39, -67.84, 18.95, 93.26, 0.68, 51.33, 77.79]",20456
0,0,"[-51.0432, -21.01, -22.22, 36.7842, 18.95, 93.26, 0.68, 51.33, 77.79]",13422
0,0,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",12773
0,0,"[-85.28, 69.22, -83.39, -67.84, 18.95, 93.26, 0.68, 51.33, 77.79]",7475
0,0,"[-51.0432, -21.01, -22.22, 36.7842, 18.95, 93.26, 0.68, 51.33, 77.79]",5316
0,0,"[-51.0432, -21.01, -22.22, 36.7842, 18.95, 93.26, 0.68, 51.33, 77.79]",3821
0,1,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",23255
0,1,"[-85.28, 69.22, -83.39, -67.84, 18.95, 93.26, 0.68, 51.33, 77.79]",20456
0,1,"[-85.28, 69.22, -83.39, -67.84, -84.6, 81.88, 9.17, 64.5, 94.49]",13581
0,1,"[-51.0432, -21.01, -22.22, 36.7842, 18.95, 93.26, 0.68, 51.33, 77.79]",13422
0,1,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",12773
0,1,"[-85.28, 69.22, -83.39, -67.84, 18.95, 93.26, 0.68, 51.33, 77.79]",7475
0,1,"[-0.95, -21.01, -22.22, -47.07, 18.95, 93.26, 0.68, 51.33, 77.79]",69779
0,1,"[-0.95, -21.01, -22.22, -47.07, -84.6, 81.88, 9.17, 64.5, 94.49]",30814
0,1,"[-85.28, 69.22, -83.39, -67.84, -84.6, 81.88, 9.17, 64.5, 94.49]",16639
0,1,"[-85.28, 69.22, -97.8839, -67.84, 18.95, 93.26, 0.68, 51.33, 77.79]",11116
0,1,"[-11.61, -20.86, -89.28, -24.2185, 18.95, 93.26, 0.68, 51.33, 77.79]",7949
0,1,"[-85.28, 82.6898, -83.39, -67.84, 4.45, 23.75, 7.95, -66.06, 21.12]",5635
